ID_Pelanggan,Lama_Berlangganan,Perangkat_Login,Tingkat_Kota,Jarak_Gudang_ke_Rumah,Metode_Pembayaran,Jenis_Kelamin,Jam_di_Aplikasi,Skor_Kepuasan,Status_Perkawinan,Komplain,Hari_Sejak_Pesanan_Terakhir,Jumlah_Cashback,Churn
50138,20.0,HP,3,60.52789655716205,UPI,Wanita,4,3,Single,0,23.02585966363345,153.90236456267382,1
50139,10.0,HP,3,29.412848791888003,UPI,Wanita,3,1,Single,1,1.2604251407542315,486.0610209732154,0
50140,30.0,HP,3,18.28921331827265,Debit Card,Wanita,4,4,Cerai,0,4.327114320510045,340.479122196041,0
50141,30.0,Komputer,2,101.18840614334854,COD,Wanita,2,2,Single,0,3.4875117865698413,425.30126293800816,1
50142,5.0,HP,3,62.78354972271804,Debit Card,Pria,1,2,Single,0,7.030573360537934,360.067672635068,0
50143,10.0,Komputer,3,6.653842138177592,Credit Card,Wanita,2,3,Cerai,0,5.101721761968528,328.01511551413967,0
50144,10.0,Komputer,1,97.34284965054694,Credit Card,Pria,3,4,Cerai,0,23.646338434946376,381.4475976086752,1
50145,5.0,Smartphone,1,117.79128762267726,COD,Pria,3,4,Menikah,1,2.104260914005096,228.1034658051931,0
50146,10.0,Smartphone,1,74.68151247263845,Credit Card,Wanita,1,4,Single,0,5.291770675112581,469.708609396765,0
50147,20.0,Smartphone,2,62.92646451466813,UPI,Pria,5,2,Cerai,0,2.0180826145728608,146.11702882231148,1
50148,10.0,Smartphone,3,106.0178242501706,Debit Card,Pria,4,4,Single,0,24.50963371611091,227.21247363458485,1
50149,10.0,Smartphone,1,114.53943081372884,UPI,Wanita,4,1,Single,0,22.960337727425127,112.46494128020132,0
50150,5.0,Komputer,1,91.77174532878296,Credit Card,Pria,3,5,Cerai,0,17.915789744135274,208.5292190584367,0
50151,30.0,Komputer,1,56.2270869194431,Debit Card,Pria,2,4,Menikah,0,10.649325805497831,187.28523085656172,0
50152,5.0,HP,3,73.10546092311566,UPI,Wanita,2,5,Cerai,1,4.754453388099813,119.85234427145248,0
50153,5.0,Komputer,3,85.60756697706991,COD,Wanita,5,2,Cerai,0,5.537243125503561,296.70962553944884,0
50154,10.0,Komputer,3,27.341460665207165,UPI,Wanita,2,4,Single,0,11.076000213900286,287.4544167422439,1
50155,30.0,Smartphone,2,56.42811870489037,Credit Card,Wanita,4,3,Menikah,0,19.20556678341204,131.09817755946756,0
50156,5.0,Komputer,2,100.42944544248778,Debit Card,Wanita,2,2,Cerai,0,6.618237399973973,204.74021256336567,0
50157,20.0,Smartphone,1,80.29341507732094,COD,Pria,5,1,Single,0,7.769797813366167,481.3288641865424,0
50158,20.0,HP,3,52.28846772936322,Debit Card,Pria,4,1,Cerai,0,14.998607285111763,144.29464980416813,1
50159,5.0,HP,1,81.28669141168835,COD,Wanita,2,5,Single,0,5.94323405695634,222.0074595437873,0
50160,20.0,Komputer,3,18.595577388332885,Debit Card,Wanita,4,5,Cerai,1,14.605465532320087,114.34495938186342,0
50161,10.0,HP,3,51.172225214960775,Credit Card,Pria,3,3,Menikah,0,9.678272331807117,159.55488104950672,1
50162,20.0,Komputer,3,96.20978186575148,COD,Wanita,3,3,Cerai,0,0.8592051475337009,379.7588429863158,0
50163,20.0,HP,2,30.35851052071452,Credit Card,Wanita,3,1,Single,0,10.067532155799096,246.6866002651755,0
50164,10.0,Smartphone,2,26.385573369103035,Debit Card,Pria,2,4,Cerai,0,22.988131987978623,280.8306282716482,0
50165,10.0,Smartphone,3,114.3441458903896,Debit Card,Pria,5,1,Menikah,0,7.327796978336515,162.79135805226247,1
50166,30.0,Smartphone,1,29.138227402416533,UPI,Pria,4,1,Menikah,0,8.070809735911725,372.8560691565207,1
50167,10.0,Smartphone,3,35.00563665976933,COD,Wanita,1,3,Menikah,0,1.648522201482172,400.6086392365015,0
50168,5.0,Komputer,3,116.50583297399886,Credit Card,Pria,3,5,Menikah,0,15.376186214232357,172.4448198066959,0
50169,10.0,HP,1,89.49148558047796,Credit Card,Wanita,3,3,Single,0,21.23105910745847,117.99738544797688,0
50170,10.0,Komputer,3,85.45360129770575,UPI,Pria,1,3,Cerai,0,8.82307232732754,132.3764537236074,0
50171,20.0,Smartphone,1,103.08653414327684,Credit Card,Wanita,1,3,Menikah,0,6.006138937999711,362.8183028812071,1
50172,10.0,Komputer,2,18.31965445723134,COD,Wanita,2,1,Cerai,1,23.915296354096466,154.2042409979356,0
50173,10.0,HP,2,86.18496720670082,Credit Card,Wanita,4,4,Single,0,18.626815364787213,297.56753366753424,1
50174,5.0,Komputer,1,62.92419007274747,Debit Card,Pria,3,1,Cerai,0,14.179088982081614,161.05661237046803,0
50175,20.0,HP,2,100.35232363267608,Debit Card,Pria,5,2,Cerai,0,7.638279158622102,168.0592192820959,1
50176,5.0,Komputer,2,63.436297646497344,UPI,Pria,2,3,Menikah,1,5.519950449410022,101.74420133660745,1
50177,20.0,HP,1,76.3277557409249,COD,Wanita,2,3,Menikah,0,17.89360097501168,228.3297023433552,0
50178,10.0,HP,2,59.94034453594664,COD,Pria,5,2,Single,0,13.044720428433603,135.91890642914413,0
50179,30.0,Smartphone,3,59.98827620892207,Credit Card,Pria,5,3,Cerai,0,13.014995420074529,257.58451013617014,0
50180,5.0,HP,3,93.31654747711065,UPI,Wanita,5,3,Single,0,1.842745466806095,339.11372384703355,1
50181,10.0,Smartphone,1,77.28513607443757,COD,Wanita,1,3,Single,0,12.804861918990149,247.0127791712468,0
50182,5.0,Smartphone,2,77.8252681850822,Debit Card,Pria,3,2,Single,0,20.568600775987345,382.0326523341341,1
50183,30.0,Smartphone,3,56.78248564062547,Credit Card,Pria,1,1,Menikah,0,23.669981944893976,396.5807072157433,0
50184,30.0,Komputer,3,66.07759207881567,Credit Card,Pria,3,3,Menikah,0,2.6670599370433785,378.64255494432473,0
50185,5.0,Komputer,2,90.75753161355054,Debit Card,Wanita,1,4,Cerai,0,15.77913026747677,474.6854238525993,0
50186,20.0,Komputer,2,99.9832056978706,UPI,Pria,4,2,Cerai,0,14.208681269956172,194.9177107980604,1
50187,30.0,Komputer,3,85.10456124656531,COD,Wanita,3,5,Cerai,0,22.257812273703543,175.78258124599063,0
50188,10.0,HP,3,111.26839371725356,Debit Card,Wanita,2,2,Menikah,0,18.78110075462179,343.8845956967468,0
50189,10.0,HP,1,99.33727013692813,Credit Card,Pria,3,1,Menikah,1,24.13154672913283,337.95080377367333,1
50190,5.0,Komputer,1,69.61433582809462,Credit Card,Pria,3,2,Single,0,24.000813439549905,304.03933346992284,1
50191,10.0,HP,3,82.21169835402974,UPI,Wanita,3,5,Menikah,0,5.64212733363052,101.7412765977058,1
50192,30.0,HP,1,111.52545184593754,Debit Card,Wanita,4,4,Single,0,18.133771797510555,322.0952919623994,0
50193,30.0,Smartphone,3,76.20432508795172,Credit Card,Pria,1,5,Single,0,13.26307728412236,473.1192227491916,0
50194,20.0,Smartphone,3,99.85279901768052,Debit Card,Pria,2,2,Menikah,0,5.365049880382636,233.83107564514515,0
50195,10.0,Smartphone,1,84.21320791284852,Credit Card,Pria,1,5,Single,0,4.871727055435018,487.0396773281002,1
50196,10.0,Smartphone,1,68.47268152195365,UPI,Wanita,1,2,Single,1,2.0271085316571624,242.7026716790777,0
50197,20.0,HP,2,32.811392472765604,UPI,Wanita,5,4,Cerai,0,19.888631910467225,155.94180100712714,0
50198,30.0,Komputer,2,53.98971473886923,Credit Card,Pria,4,4,Single,0,8.112619515500239,259.3613659708554,1
50199,30.0,HP,2,116.2904248558773,UPI,Wanita,5,1,Menikah,1,21.42422088322416,297.84452516941764,0
50200,20.0,HP,3,80.643019076349,UPI,Wanita,4,4,Menikah,1,15.207884150580364,351.78576407063645,0
50201,20.0,HP,1,69.9054687389838,UPI,Pria,1,3,Single,0,16.840833870961518,301.9512648089336,0
50202,10.0,Smartphone,3,112.29001193574616,UPI,Wanita,1,5,Cerai,0,7.291843740254916,314.6874509624872,0
50203,5.0,Smartphone,1,72.4488548193066,UPI,Pria,4,5,Menikah,0,11.432356984892088,109.62681534304215,0
50204,30.0,Smartphone,3,65.49948961800135,Credit Card,Pria,1,2,Menikah,0,10.307939452078122,201.44806765359573,1
50205,20.0,Komputer,2,92.3207483422736,Debit Card,Wanita,1,4,Cerai,0,5.89221659811503,224.2786631756688,1
50206,10.0,HP,2,86.95654618345262,COD,Wanita,2,1,Single,0,20.81280421316981,494.8354151525796,0
50207,5.0,Komputer,2,27.213400966969765,UPI,Pria,5,1,Menikah,1,15.552112645165527,218.22709539481343,0
50208,20.0,Smartphone,3,59.20045157602394,COD,Wanita,5,1,Single,0,0.9357994363267536,458.6315395297141,0
50209,10.0,Komputer,1,59.33927592425231,COD,Pria,5,3,Single,0,20.49792548446721,221.8944802164315,1
50210,5.0,HP,1,48.495819252984646,Credit Card,Wanita,3,4,Single,0,2.650943900714786,138.44413241695645,0
50211,10.0,HP,2,64.48875044750912,UPI,Wanita,2,1,Single,0,10.09241083831398,199.0469596243777,1
50212,20.0,Smartphone,2,52.50735073862158,COD,Wanita,5,3,Menikah,0,14.281422540759449,209.1313539657192,1
50213,20.0,Smartphone,2,27.92473128918606,UPI,Pria,5,5,Cerai,0,0.1912811415304499,491.29943755559367,0
50214,5.0,Komputer,2,52.42214603658832,Credit Card,Wanita,2,2,Menikah,0,16.3227026360734,369.7166022268949,0
50215,20.0,Smartphone,1,13.311848970915308,Credit Card,Pria,1,4,Cerai,0,16.492573489006425,472.6723982483864,0
50216,5.0,Smartphone,3,71.21537421905732,Credit Card,Pria,5,4,Single,0,16.31315792831617,433.9980088819288,0
50217,10.0,HP,3,103.17027312822788,COD,Pria,1,5,Cerai,0,4.086698452656928,331.43939627123905,0
50218,20.0,Smartphone,3,88.40801470077385,Credit Card,Wanita,5,4,Single,0,6.393308169338735,370.1551696982253,0
50219,20.0,Smartphone,3,46.4453146062228,Credit Card,Pria,4,4,Menikah,0,6.184395488318506,349.9348774784126,0
50220,30.0,HP,2,15.01318864139044,Credit Card,Pria,3,4,Menikah,0,24.001674579490924,366.5052104767147,0
50221,20.0,HP,2,28.24718091090614,COD,Wanita,5,4,Cerai,0,1.688204680646932,205.9094658509105,0
50222,10.0,Komputer,2,67.7313891569061,UPI,Pria,4,3,Single,0,10.7190376925876,263.2500536831748,0
50223,10.0,Smartphone,3,28.81156458904878,Debit Card,Pria,2,3,Single,0,21.78134764550485,337.04632463925856,0
50224,10.0,HP,2,67.55690779777126,UPI,Wanita,4,2,Cerai,0,19.2366498611929,114.37138602234285,1
50225,5.0,Komputer,2,31.633887847848374,UPI,Pria,2,4,Single,0,20.561053116223167,293.13396056067734,1
50226,5.0,Komputer,1,102.62624498974836,UPI,Wanita,5,5,Single,1,24.307339603058324,443.8907733591413,0
50227,30.0,Smartphone,1,50.68621937665287,UPI,Pria,2,1,Single,0,9.681545306829722,296.947091034132,0
50228,10.0,Smartphone,2,33.23832198361647,Debit Card,Pria,4,2,Menikah,0,7.741381859511528,320.92934746219976,0
50229,30.0,Komputer,1,98.41751072841208,Credit Card,Wanita,3,1,Menikah,0,0.7664872537549328,180.76204820607632,0
50230,20.0,HP,1,44.42648095262683,UPI,Pria,1,1,Menikah,0,3.750484044746552,417.7373375941752,0
